absolutely 完全地；绝对地；确实
according to  prep. 按照；根据
foundation  n. [U] 创建；创办；[C] & [U] 基础；基本原则；根据；[C] 地基；房基；[C] 基金会
frank  adj. 坦白的；直率的
frequency  n. [U] & [C] 频繁；发生率
frequently  adv. 频繁地；经常地
frightened  adj. 受惊的；害怕的
fund n. [C] 基金；专款；[复数] 资金；基金会vt. 为……提供资金；资助
gap  n. [C] 缺口；间隔；差距；分歧
gender  n. [C] & [U] 性别
generate  vt. 产生；创造
genius  n. [U] 天才；天赋；[C] 天才人物
genuine  adj. 真(实)的；真诚的
global  adj. 全球的；全世界的；全面的；总体的
grab  vt. 抓住；(因忙碌而)匆忙地吃 / 喝
gradually  adv. 逐渐地
grandparent  n. [C] (外)祖父；(外)祖母
greenhouse  n. [C] 温室；暖房
guideline  n. [C] 指导方针；指导原则
guy  n. [C] 男人；小伙子；家伙；伙计
habitat  n. [C] & [U] (动物)栖息地；(植物)生长地
harmonious  adj. 协调的；和谐的；和睦的
hence  adv. 因此；所以
highlight vt. 突出；强调；使醒目n. [C] 最精彩的场面 / 部分
highly  adv. 很；非常；高度地
hike vi. 徒步旅行; n. [C] 徒步
historic  adj. [常用于名词前]历史上著名的；有历史意义的
household   n. [C] 一家人；家庭adj. 家庭的；家用的
housing  n. [U] 住房；房屋
humble  adj. 谦卑的；地位低下的
ideal   adj. 理想的；完美的n. [C] 理想；想象中的人 / 事物
identical  adj. 同一的；完全相同的
identify  vt. 认出；识别；确认；找出；表明……的身份
illustrate  vt. 给……作插图；(用示例、图画等)说明；解释
image  n. [C] & [U] 影像；图像；形象；印象
impact  n. [U] & [C]撞击(力)；冲击(力)；影响；作用
imply  vt. 含有……的意思；暗示；暗指；说明；表明
incredible  adj. 难以置信的；无法相信的；极好的
individual adj. [只用于名词前] 单独的；个人的n. [C] 个人；个体；人
infection  n. [U] 传染；[C] 传染病
infer  vt. 推断
influential  adj. 有影响的；有势力的
initiative  n. [C] 倡议；[U] 主动性
inner  adj. 内部的；内心的
innovation  n. [C] 新观念 / 方法；[U] 创新；革新
input  n. [C] & [U] 投入(时间、知识等)；(计算机)输入
inquire  vi. & vt. 询问；打听
insight  n. [C] 顿悟；[U] 洞察力；眼光
inspection  n. [U] & [C] 视察；检查
instance  n. [C] 例子；事例
integrate  vi. & vt. (使)结合；(使)合并
integrity   [U] 完整；完好；诚实；正直
intelligent  adj. 聪明的；有才智的；有智力的
intense  adj. 强烈的；激烈的
interaction  n. [C] & [U] 交流；互动；相互作用
internal  adj. 内部的；体内的；内心的
interpret  vt. 解释；阐述；vt. & vi. (口头)翻译
intervention  n. [C] & [U] 干涉；干预；介入
investigate  vt. & vi. 调查；侦查；调查研究
investment  n. [U] 投资；[C] 投资额；投资物
involve  vt. 包含；需要；涉及；影响；使参加
issue n. [C] 议题；争论的问题(尤指社会或政治方面)；(令人担忧的)问题；(报刊的)号；版次 vt. 公布；发布；(正式)发给；供给
item  n. [C] (表格、目录、数据等的)项目；细目；一件商品 / 物品；一条 / 一则(新闻)
joint n. [C] 关节；接缝；接合处adj. [只用于名词前] 联合的；共同的
journal  n. [C] 日报；杂志；期刊；日志；日记
justify  vt. 证明…正当 / 有理；为……辩护；对……作出解释
kit  n. [C] & [U] 成套工具；成套设备
label n. [C] 标签；标记vt. 贴标签于；用标签标明
landscape  n. [C] 风景；风景画
landslide  n. [C] 塌方；滑坡；压倒的优胜(尤指竞选中选票的一面倒)
laptop  n. [C] 笔记本电脑；便携式电脑
launch vt. 使(船)下水；发射；发动；创办；把……投放市场 n. [C] [常用单数] 发射；(新产品的)投放市场；(新书的)发行
leadership  n. [U] 领导；领导力；领导
leisure  n. [U] 闲暇；业余时间
limited  adj. 有限的；不多的
literally  adv. 照字义；根据字面意思
living adj. 活的；活着的；在使用的n. [C] & [U] 生活；生计；[the living] 活着的人
loan  n. [C] 贷款；借款
location  n. [C] 地点；位置
log  vt. & vi. 记录
logical  adj. (符合)逻辑的；合乎情理的
lower adj. [low的比较级] 较低的；较下的；较低级的vt. 把……放低；把……降下；降低；减低(价格、声音等)
lunar  adj. 月球的；以月球公转测度的
luxury  n. [U] 奢侈；奢华；[C] 奢侈品
maintain vt. 保持；维持；维护；保养；坚持认为
massive  adj. 大而重的；大规模的；巨大的
mechanical  adj. 机械方面的；用机械的；机械似的
membership  n. [U] 会员身份；会员；会员数
military  adj. 军事的；军用的
minor  adj. 较小 / 少的；轻微的
missing  adj. 丢失的；失踪的；缺少的
mission  n. [C] 任务；使命；职责
mobile phone  n. [C] 移动电话；手机
mode  n. [C] 方式；运行方式；模式
monthly adj. 每月的；按月的adv. 每月；每月一次 n. [C] 月刊
mood  n. [C] 心情；情绪；心境
moreover  adv. 再者；而且
mostly  adv. 主要地；多半
motion  n. [C] & [U] 动；运动；动作
motivate  vt. 使有动力；激发；激励
motive  n. [C] 动机；目的
mount  n. (缩写为Mt)山；峰
multiple adj. 多个(人 / 事件 / 物组成)的n. [C] 倍数
muscle  n. [C] 肌肉；[U] 体力；力气
negative  adj. 否定的；负面的；消极的；(电)负的；(医)阴性的
nevertheless  adv. 然而；不过
objective n. [C] 目的；目标adj. 客观的
obviously  adv. 显而易见地
occasion  n. [C] (某事发生的)时刻；场合；时机；机会；重大 / 特殊活动；盛会
odd  adj. 奇怪的；怪异的；偶尔发生的；(一双或一套中)不成对的
online adj. 在线的；联网的adv. 在网上
opponent  n. [C] 对手；反对者
opportunity  n. [C] & [U] 机会；时机
option  n. [C] & [U] 选择
organic  adj. 器官的；有机的；不使用化肥的
original adj. 最初的；原先的；原创的；原作的；新颖的；创新的；独特的 n. [C] 原文；原作；原稿
overall adj. 全部的；全面的adv. 总共； 总的说来
overseas adv. 在国外；向海外adj. 海外的；国外的
panel  n. [C] 嵌板；镶板；专家咨询小组
passion  n. [C] & [U] 激情；热爱
peak n. [C] 山峰；山顶； 高峰；顶峰adj. 最高的；高峰的 vi. 达到最高点；达到高峰
perceive  vt. 察觉；发觉；看待；理解
personality  n. [C] & [U]个性；人格
pessimistic  adj. 悲观的
phase  n. [C] 阶段；时期
philosophy  n. [U] 哲学；[C] 哲学体系；[U] & [C] 人生哲学；(生活、工作的)准则
player  n. [C] 比赛者；选手；演员；演奏者；播放机
poetry  n. [U] 诗歌
polar  adj. 极地的；近极地的
pose vi. 摆好姿势；佯装n. [C] 姿势；姿态；假装
precisely  adv. 精确地；确切地；恰好
prior  adj. 先前的；早前的
priority  n. [C] 优先事项； [U] 优先权
proceed  vi. 继续；继续做；继续进行
professional adj. 职业的；专业的n. [C] 专业人士；职业选手
profile  n. [C] 侧面(像)；外形；轮廓；简介；概况
proof  n. [U] & [C] 证明；证据
property  n. [U] 财产；资产；(房)地产
proposal  n. [C] & [U] 建议；提议
prospect  n. [U] 可能性；预期；设想；[C] 前景；前途；[C]视野；景色
protein  n. [C] & [U] 蛋白质
protest vi. & vt. 抗议；反对n. [C] & [U] 抗议；反对
pudding  n. [C] & [U] 布丁
pursue  vt. 追求；(继续)从事；追赶；追捕
qualify vt. & vi. (使)具有资格；(使)合格
quote vt. & vi. 引用；援引n. [C] 引语；引文
rating  n. [C] 等级；级别
reaction  n. [U] & [C] 反应；作用
realistic  adj. 现实的；实际的；现实主义的；逼真的
recall  vt. 回忆；回想；召回；收回
recently  adv. 近来；最近
recognition  n. [U] 认出；识别；承认
recording  n. [U] 记录；录制；[C] 录制品
region  n. [C] 地区；地带；行政区；范围；领域
release vt. 放开；松开；放出；排放；释放；首映(电影)；发行(CD、书等)；发布(新闻等) n. [U] 放走；释放；排放；宣泄；[U] 发行；发布；[C] 发行的影片等；发布的新闻等
remarkable  adj. 非凡的；卓越的；引人注目的
resident  n. [C] 居民；住户
resistance  n. [U] 反抗；抵制
resolution  n. [C] & [U] 解决；决心
resolve  vt. 解决；vt. & vi. 决心；决定
resource  n. [C] 资源；物力；财力
respective  adj. 各自的
response  n. [C] & [U] 回答；反应
responsible  adj. 有责任的；尽责的；作为原由的
restore  vt. 恢复；修复
restrict  vt. 限制；约束
reveal  vt. 揭露；泄露
revise  vi. & vt. 复习；温习；vt. 修订；修正
romantic  adj. 浪漫的；传奇(式)的；浪漫主义的；不切实际的；虚构的
route  n. [C] & [U] 路线；路程；航线；途径
rural  adj. 农村的；乡村的
sample  n [C] 样本；样品；试用品
saving  n. [C] 节约；节省物；[复数]储蓄金；存款
secondary  adj. 中等的；次要的；第二位的
series  n. [C] [单复数同]一系列；连续
setting  n. [C] 环境；背景
shift vi. & vt. (使)转移；(使)移动；vi. & vt. (使)改变n. [C] 转移；转换；[C] 班；轮班；[U] (计算机)转换(键)
shortage  n. [C] & [U] 不足；缺乏；短缺
sign n. [C] 符号； 指示牌；标记；(头、手、眼等的)示意动作；手势；[C] & [U] 迹象；征兆 vt. & vi. 签(名)；签字(于信、文件等)；示意；以手势表示
significant  adj. 重要的；重大的；显著的；(数量)大的
site  n. [C] 地点；遗址；网站
slightly  adv. 略微；稍微
snack  n. [C] 小吃；点心
solution  n. [C] 解答；解决方法
solve  vt. 解决；解答
somewhat  adv. 稍微；有点
source  n. [C] 源头；发源地；来源；根源；原因；消息来源；原始资料
species  [C] (动植物的)物种；种
stability  [U] 稳定(性)；固定(性)
stimulate  vt. 刺激；激发；促进
stomachache  n. [U] & [C] 胃痛；腹痛
strategy  n. [C] 战略；策略
stretch vt. & vi. (被)拉长；伸；延n. [C] & [U] 伸长；延伸；伸展；连绵
structure  n. [C] & [U] 结构；构造；[C] 建筑物
stuff  n. [U] 东西；物品
subsequent  adj. 继……之后的；随后的
substance  n. [C] 物质；东西；[U] 事实基础；根据
substantial  adj. 大量的；多的
suburb  n. [C] [常用复数] 市郊；郊区
subway  n. [C] 地道；地铁
sufficient  adj. 足够的；充足的
sum n. [C] 算术；总数；总和；全部sum up 总结；概括
surf  vi. & vt. 冲浪
surgery  n. [U] 外科手术；[C] 诊所
survey n. [C] 调查；全面审视；测量；勘测vt. 调查；全面审视；测量；勘测
suspend  vt. 悬挂；暂停；中止
sustain  vt. 保持；维持
swimming  n. [U] 游泳
tackle  vt. 处理 / 对付(难题)；抢断
territory  n. [C] & [U] 领土；版图；领地；(具有某种特性的)地区；区域
thirsty  adj. 渴的；缺水的；干旱的；渴求的；渴望的
threat  n. [C] & [U] 威胁；恐吓；[C] 构成威胁的人 / 事物；[U] & [C] 凶兆
threaten  vt. 威胁；恐吓；危及到；vt. & vi. 预示(……的)凶兆
tone  n. [C] 音调；语调；腔调；语气
ultimately  adv. 最后；最终
usually  adv. 通常
variation  n. [C] & [U] 变化；差别
vary  vi. (大小、形状等)相异；不同；vi. 变化；vt. 改变
venue  n. [C] 举办地点；举行场地
virtual  adj. 几乎的；虚拟的
visible  adj. 看得见的；明显的
vision  n. [U] 视力 ；视觉；[C] 想象；幻象
volume  n. [C] 卷；册；[C] & [U] 体积；容积；(生产、交通等的)量；[U] 音量；声量
warning  n. [C] & [U] 警告；告诫
weapon  n. [C] 武器；兵器
Wi-Fi  n. [U] 无线保真
wrap  vt. (用……)包；裹；(用……)缠绕；围住
writer  n. [C] 作者；作家
