"subject","/ˈsʌbdʒekt/","/ˈsʌbdʒɪkt/","n. 主题，话题；学科，科目，课程；主语；（绘画、摄影等的）主题，题材；实验对象；（批评、学习、调查的）对象；国民；起因；（逻）主词，主项，主概念；（乐）主旋律；（哲）主体，主观；中心实体<br>v. 使臣服，征服，压服；使经受，使遭受<br>adj. 隶属的，臣服的；可能受……影响的，易遭受……的；受……支配的，服从于……的；取决于，视……而定"
"shoe","/ʃuː/","/ʃuː/","n. 鞋；马蹄铁；刹车蹄片；（尤指照相机上的）插口；（尤指雪橇滑板的）金属箍；柱脚，桩靴；（巴卡拉纸牌或其他纸牌戏的）发牌盒；他人的处境<br>v. 给（马）钉蹄铁；穿鞋（或靴）（be shod）；用金属片包覆；为（轮子）装轮胎"
"square","/skwer/","/skweə(r)/","adj. 正方形的，四方形的；成直角的；平方的；两清的，互不欠账的；诚实公正的；<非正式>古板守旧的；平行的，水平的；宽阔结实的；打平的，平局的；一致的，可共存的；长宽为…...的；整齐的；（韵律）简单易懂的<br>n. 正方形，四方形；广场；平方，二次幂；<非正式>古板守旧的人；（棋盘上的）方格；直角尺，丁字尺；<史>（步兵的）方阵；方围巾；<英>托灰板，灰浆板；（板球）内场；（军营中的）操练场；<美>街区；（占星）90度星位；<美，非正式>美餐，饱餐<br>v. 使成平方，使成二次幂；使（比赛的比分）打平；挺起胸膛；使成正方形，使成方形；<非正式>贿赂，收买；使谐调，符合；就…...征得…...的同意；结账，付清欠款；横（向）传（球）；（占星）处于方照位置<br>adv. 直接地；成直角，垂直地；<非正式>公正地，诚实地"
"shut","/ʃʌt/","/ʃʌt/","v. 关闭，合上；把……关在；<英>（使）停止运作，（使）停止营业；禁止通行，封闭<br>adj. 关闭的，关上的；<英>打烊的，停止营业的<br>n. 关闭"
"kite","/kaɪt/","/kaɪt/","n. 风筝；鸢（猛禽）；<非正式>空头支票，非法支票；<非正式>大三角帆；非法（或秘密）的信件（便条）；风筝形四边形；<古>剥削者，掠夺者；<英，非正式>飞机<br>v. 增加（费用）；飞，飞奔；<美，非正式>使用（非法支票）骗钱，涂改（支票）"
"musical","/ˈmjuːzɪk(ə)l/","/ˈmjuːzɪk(ə)l/","adj. 音乐的，配乐的；喜爱音乐的，精通音乐的；悦耳的，动听的<br>n. 音乐剧，音乐片"
"rose","/roʊz/","/rəʊz/","n. 玫瑰，蔷薇；玫瑰形物，玫瑰花饰，玫瑰花形纹章（尤指英国国徽）；玫瑰色，玫瑰红；红润的肤色；安乐的境地，有利的环境，轻易成功；（水管或洒水壶的）莲蓬式喷嘴；玫瑰红葡萄酒；罗经花，向位圈，方位刻度图<br>v. <文>使成玫瑰色，使变红<br>v. （数字、数量、价值）增加，（质量）提高；升起，达到较高水平（或位置）；（尤指从坐姿）起身，站起"
"concert","/ˈkɑːnsərt/","/ˈkɒnsət/","n. 音乐会，演奏会；一致，和谐；（尤指犯罪时的）联合行动<br>v. 共同议定，协调"
"steal","/stiːl/","/stiːl/","v. 偷窃，盗窃；剽窃，窃取（观点）；悄悄地移动；（在棒球比赛中）偷（垒）；（在篮球或冰球比赛中）断（球），截（球）；偷偷做；偷拿，私自拿；抢（镜头、戏等）；（体育运动中）意外赢得；骗走<br>n. 极廉价的物品，低价；（尤指篮球比赛中的）断球；（棒球比赛中的）偷垒；<美>偷窃，行窃；剽窃"
"capital","/ˈkæpɪt(ə)l/","/ˈkæpɪt(ə)l/","n. 资本，资金；资本家，资方；首都，首府，省会；活动（或生产）中心；大写字母；柱顶，柱头<br>adj. 可处死刑的；大写的；首府的，省会的；<旧>顶好的，极好的"
"apart","/əˈpɑːrt/","/əˈpɑːt/","adv. （空间或时间）相隔，相距；拆开，成碎片；解体，崩溃；分开，分离；与众不同地，独特地；除了……外；远远地<br>adj. 意见不一致的，有分歧的；分开的；与众不同的"
"sale","/seɪl/","/seɪl/","n. 出售，销售；销售额；销售活动，（尤指）拍卖；降价出售，大减价；销售部门；销售业务，销售工作"
"insect","/ˈɪnsekt/","/ˈɪnsekt/","n. 昆虫；类似昆虫的小动物（如蜘蛛）；卑鄙的人"
"kitty","/ˈkɪti/","/ˈkɪti/","n. <非正式>小猫，猫咪（也用作对猫的昵称或呼唤语）；公共储金，共同资金；（赌博等）赌注总额，奖金池"
"jeans","/dʒiːnz/","/dʒiːnz/","n. 牛仔裤；工装裤"
"all-round","/ˌɔːl ˈraʊnd/","/ˌɔːl ˈraʊnd/","adj. 全能的，多才多艺的；全面的，多方面的，综合性的"
