dam,/dæm/,/dæm/,"n. 堤，坝；母兽，母畜
v. （在河上）筑坝；阻止，抑制"
distributor,/dɪˈstrɪbjətər/,/dɪˈstrɪbjətə(r)/,n. 经销商，批发商；（汽油发动机中的）配电器，配电盘
distribution,/ˌdɪstrɪˈbjuːʃ(ə)n/,/ˌdɪstrɪˈbjuːʃn/,n. 分发；分销，配送；（电影在各院线的）发行，上映；分配，分布
district,/ˈdɪstrɪkt/,/ˈdɪstrɪkt/,"n. 地区，区域；行政区，辖区
v. 把……划分成区"
disturb,/dɪˈstɜːrb/,/dɪˈstɜːb/,v. 打扰，妨碍；使焦虑，使烦恼；移动，弄乱
divorce,/dɪˈvɔːrs/,/dɪˈvɔːs/,"n. 离婚；离婚判决；分开，脱离
v. 与（某人）离婚；使分离，割裂"
dizzy,/ˈdɪzi/,/ˈdɪzi/,"adj. 头晕目眩的；使人眩晕的，使人感到变化太快的；傻乎乎的，蠢的；粗心大意的，心不在焉的
v. 使眩晕，使晕头转向；使困惑，使思想混乱"
dock,/dɑːk/,/dɒk/,"n. 码头，船埠，船坞；港区；（供上下船或系船用的）突堤，栈桥；供船只、卡车、火车等装卸货物用的）月台；（尤指私家）泊位； 酸模（一种植物）；动物尾巴（除毛发外的）骨肉部分；被告席；被告席
v. （使船）靠码头，进港；（航天器）在太空对接；将电子设备（如电脑、数码相机）相接；扣工资，扣分；剪短（动物的尾巴）"
doctorate,/ˈdɑːktərət/,/ˈdɒktərət/,n. 博士（学位）
domestic,/dəˈmestɪk/,/dəˈmestɪk/,"adj. 国内的，本国的；家用的，家庭的；喜爱家庭生活的，乐于操持家务的；非野生的，驯养的
n. 家庭纠纷，家庭矛盾；佣人，家仆；<美>国货，本地产品"
dormitory,/ˈdɔːrmətɔːri/,/ˈdɔːmətri/,n. 集体宿舍
dough,/doʊ/,/dəʊ/,n. 生面团
dove,/dʌv/,/dʌv/,n. 鸽子；鸽派人士，主和派人士
downfall,/ˈdaʊnfɔːl/,/ˈdaʊnfɔːl/,n. 垮台；衰败；落下；大雨
downy,/ˈdaʊni/,/ˈdaʊni/,adj. 柔和的；绒毛的；多丘岗的
dozen,/ˈdʌz(ə)n/,/ˈdʌz(ə)n/,n. 一打，十二个；大量，许多；十多个
dragonfly,/ˈdræɡənflaɪ/,/ˈdræɡənflaɪ/,n. 蜻蜓
drawback,/ˈdrɔːbæk/,/ˈdrɔːbæk/,n. 缺点，不利条件；出口退税
drawer,/drɔːr/,/drɔː(r)/,n. 抽屉；制图员；开票人；起草者
dread,/dred/,/dred/,"v. 畏惧，担心；<古>敬畏
n. 害怕，畏惧；令人生畏的人，可怕的事物；（鸥鸟等鸟群的）惊飞，惊起
adj. 令人生畏的，可怕的；恼火的，生气的"
drill,/drɪl/,/drɪl/,"n. 钻，钻机；训练，演习；粗斜纹布；条播沟；条播机；条播作物；<非正式>常规，正确步骤；尾角螺
v. 钻孔；训练，演习；条播"
drone,/droʊn/,/drəʊn/,"n. 嗡嗡叫，嗡嗡响；雄蜂，公蜂；（遥控的）无人驾驶飞机（或导弹）；<非正式>单调乏味的讲话；（不劳动，依赖他人为生的）寄生虫；伴音（如风笛等发出的持续音），伴音管（或弦等）；干单调工作的人
v. 嗡嗡叫，嗡嗡响；（人）絮絮叨叨地说，喋喋不休地说；混日子"
drought,/draʊt/,/draʊt/,n. 长期缺乏，严重短缺；<古>口渴；干旱，旱灾
drown,/draʊn/,/draʊn/,v. （声音）压过，盖过；沉浸于，淹没于；（使）淹死
drunk,/drʌŋk/,/drʌŋk/,"adj. 喝醉的，醉酒的；陶醉的，沉醉的，忘乎所以
n. 酗酒者，酒鬼；纵饮，醉酒"
dull,/dʌl/,/dʌl/,"adj. 枯燥无聊的；无精打采的；不明亮的；（声音）不清晰的；阴沉的；不明显的，隐隐的；钝的；迟钝的，愚笨的；萧条的
v. 减轻，缓解；使迟钝；（使）变模糊，变暗淡；（使刀或刀片等）变钝；（兴趣、痛苦等）减少"
dumb,/dʌm/,/dʌm/,"adj. 哑的，不能说话的；一时说不出话的，不肯开口的；<非正式>愚蠢的；（计算机终端）简易的
v. 使通俗化；<文>使变哑，使沉默"
dump,/dʌmp/,/dʌmp/,"v. 丢弃，扔掉；乱堆，乱放；丢下，抛弃；分手，甩掉；倾销，抛售；转储，转存（计算机数据）；（尤指系统发生故障后内存的）打印输出，卸出
n. 垃圾场；废料堆场；（金矿开采作业堆积而成的）矿山废石堆；<非正式>脏地方；军需品临时存放处；转存；<美，非正式>拉屎
【名】 （Dump）（美）邓普（人名）"
dumpling,/ˈdʌmplɪŋ/,/ˈdʌmplɪŋ/,n. 汤团，饺子；水果布丁，水果馅点心；矮胖的人
dusk,/dʌsk/,/dʌsk/,"n. 黄昏，傍晚；暮色；昏暗，幽暗
v. <文>变暗，变黑；使变微暗
adj. <文>幽暗的，昏暗的"
dustbin,/ˈdʌstbɪn/,/ˈdʌstbɪn/,n. 垃圾箱
